TACODE,TANAME,TAVERSION,NUMBER OF ALL ADDRESSES,NUMBER OF FULLY REGISTERED PROPERTIES,NUMBER OF EDW PROPERTIES,PROPS POTENTIALLY WARNED
012FWCTL24A,"Lancashire coastline at Bolton-le-Sands, around Red Bank Farm, The Shore and railway line",7,31,12,13,25
012FWCTL24B,"Lancashire coastline at Bolton-le-Sands, between Red Bank House and Coastal Road",3,,,,
012FWCTL25A,Merseyside coastline at Hightown,7,,,,
012FWCTL26A,"Lancashire coastline at Banks, affecting old Hollow Farm",3,,,,
012FWCTL26B,"Lancashire coastline at Banks, between Banks Marsh and Churchtown Moss",3,2160,191,1420,1611
012FWCTL27A,"Lancashire coastline at Carnforth, around Warton Bridge, Galley Hall and Marsh House Farm",8,20,5,7,12
012FWCTL27B,"Lancashire coastline at Carnforth, between Warton Grange Farm, Cotestones Farm and Crag Bank",3,38,3,27,30
012FWCTL29A,"Wyre estuary at Hambleton, around Wardleys Pool and Brickhouse Lane",10,97,63,21,84
012FWCTL29B,"Wyre estuary at Hambleton, bordering Brickhouse Lane and A588",5,721,91,434,525
012FWCTL30A,"Lancashire coastline at Hesketh, affecting Hesketh Out Marsh",4,,,,
012FWCTL30B,"Lancashire coastline at Hesketh, between Hesketh Out Marsh and Shore Road",3,99,21,59,80
012FWCTL31A,"Wyre estuary at Skippool, area east of Breck Road",7,146,20,88,108
012FWCTL31B,"Wyre estuary at Skippool, bordering Breck Drive and Myrtle Avenue",4,91,9,60,69
012FWCTL32A,"Wyre estuary at Thornton, affecting Nestleton, Underbank Rd, Aylesbury House and Silcock's Cottages",8,,,,
012FWCTL32B,"Wyre estuary at Thornton, between A585, Stanah Road and School Road",3,6499,406,4564,4970
012FWCTL37A,Ribble estuary at Hutton and Longton,3,17,2,6,8
012FWFGM1A,"River Douglas at Wigan, adjacent to River Douglas from Robin Park to Baker St. Poolstock",10,170,34,65,99
012FWFGM1B,"River Douglas at Wigan, between Scholes and Poolstock",9,994,131,446,577
012FWFGM3,"River Douglas at Worthington, Standish",3,71,8,42,50
012FWFGM4A,"Pearl Brook at Horwich, area close to the river from Bridge Street and Old Station Park to the M61",3,92,8,46,54
012FWFGM4B,"Pearl Brook at Horwich, Bridge Street, Lee Lane, Winter Hey Lane and Greenstone Avenue areas",3,391,18,189,207
012FWFL1,River Wyre at Scorton,6,103,48,41,89
012FWFL10A,River Darwen at Ewood and Waterfall in Blackburn,11,18,3,4,7
012FWFL10B,"River Darwen at Lower Darwen, Ewood and Waterfall in Blackburn",11,520,41,296,337
012FWFL12A,"River Darwen at Darwen, affecting Hollins Grove off Blackburn Road between Bright St and Clarence St",14,251,63,121,184
012FWFL12B,"River Darwen at Darwen, between Bright Street and Vale Street in the Livesey Fold area of Darwen",11,62,20,20,40
012FWFL12C,"River Darwen at Darwen, comprising properties between Hardman Way and the M65",13,105,12,33,45
012FWFL13A,"River Blakewater at Blackburn Wranglings, areas around George Street West and Pleasington Street",14,354,31,170,201
012FWFL13B,"River Blakewater at Blackburn Wranglings, between Railway Road and Whalley Banks",12,340,35,109,144
012FWFL1A,River Wyre at Six Arches Lane,2,,,,
012FWFL2,River Wyre at Garstang North,6,74,40,25,65
012FWFL20A,"Savick Brook at Fulwood and Cadley, from Sharoe Green Lane to railway line",11,14,5,0,5
012FWFL20B,"Savick Brook at Fulwood and Cadley, between Woodplumpton Rd and Black Bull Lane",8,189,92,67,159
012FWFL21A,"River Calder at Whalley, around Hole House Farm and Calder Vale",13,14,12,0,12
012FWFL21B,"River Calder at Whalley, between Accrington Rd, Judge Walmsley Mill and Hackings Caravan Park",15,363,235,88,323
012FWFL21C,"River Calder at Whalley, comprising King St north of Accrington Rd",13,55,38,12,50
012FWFL23A,Pumped Watercourses at Preesall,9,1492,418,774,1192
012FWFL24A,"River Darwen at Higher Walton, around Higher Walton Rd, Darwen St and Higher Walton Mills",12,42,25,6,31
012FWFL24B,"River Darwen at Higher Walton, between Higher Walton Road and the foundry on Kittlingbourne Brow",9,282,149,90,239
012FWFL25A,River Douglas at Appley Bridge,7,42,31,3,34
012FWFL26A,"River Douglas at Parbold, along the right bank of the river downstream of the Canal Bridge",7,253,156,83,239
012FWFL26B,"River Douglas at Parbold, between canal bridge and West View and the Wayfarer Pub off Alder Lane",8,,,,
012FWFL26C,"River Douglas at Parbold, comprising low lying properties near canal and Alder Lane",7,,,,
012FWFL27A,"Pendle Water at Barrowford, around Reedyford Bridge",11,333,122,119,241
012FWFL27B,"Pendle Water at Barrowford, Colne Road to Carr Road",1,582,138,285,423
012FWFL28A,"Pendle Water at Lomeshaye, Victoria Park and Park Avenue",10,,,,
012FWFL28B,"Pendle Water at Lomeshaye, football ground, Kirby Road and Lindred Road",11,12,3,0,3
012FWFL28C,"Pendle Water at Lomeshaye, Business Village and Industrial Estate",12,158,80,15,95
012FWFL29A,"River Calder at Fulledge, around Towneley Holmes Road and Holmes Street",10,56,15,27,42
012FWFL29B,"River Calder at Fulledge, area surrounding Mitella Street, Lyndhurst Road and Oxford Road",10,1095,157,658,815
012FWFL2A,River Wyre at Garstang South,3,49,31,11,42
012FWFL2B,River Wyre at Bonds,2,19,9,3,12
012FWFL2C,River Wyre at Kirkland Bridge,3,22,15,0,15
012FWFL2D,River Wyre at Churchtown,2,81,68,7,75
012FWFL2E,River Wyre at Tarnacre,1,23,18,0,18
012FWFL3,River Wyre at St Michaels North,6,206,136,44,180
012FWFL30A,"River Calder at Burnley Town Centre, around Cow Lane and St James's Street",10,44,9,10,19
012FWFL30B,"River Calder at Burnley Town Centre, Centenary Way to Holme Road",10,144,12,30,42
012FWFL31A,"Mearley Brook at Clitheroe, around Up-Brooks, Waterloo Rd, Taylor St and Holden St",13,153,49,61,110
012FWFL31B,"Mearley Brook at Clitheroe, bordering Up-Brooks, Whittle Cl, Brook St and Peel St",11,503,107,237,344
012FWFL31C,"Mearley Brook at Clitheroe, comprising Worston, Up-Brooks and Greenacre St",9,95,14,52,66
012FWFL32A,Pilling Water and Ridgy Pool at Pilling,7,701,337,253,590
012FWFL33A,"Green Brook and Sweet Clough at Padiham, affecting low lying areas by the rivers",7,51,23,10,33
012FWFL33B,"Green Brook and Sweet Clough at Padiham, between Green Lane, Shakespeare St and Printers Fold",8,57,23,22,45
012FWFL33C,"Green Brook and Sweet Clough at Padiham, comprising Printers Fold, Burns Street to Greenbridge Mill",6,208,49,117,166
012FWFL34A,"River Calder at Padiham, around Council offices, Lune St, Ribble St and Burnley Rd",8,85,71,6,77
012FWFL34B,"River Calder at Padiham, between Wyre St and Park Rd, Station Rd and Burnley Rd",10,173,79,60,139
012FWFL34C,"River Calder at Padiham, comprising the business park at Mead Way",8,,,,
012FWFL35A,River Conder and Ou Beck at Galgate,11,301,129,89,218
012FWFL35WB,Whitley Beck at Galgate,2,93,60,18,78
012FWFL3A,River Wyre at St Michaels South,2,50,47,0,47
012FWFL3B,River Wyre at Great Eccleston,4,274,144,93,237
012FWFL3C,River Wyre at Ratten Row,3,19,9,3,12
012FWFL41A,"Pimlico Brook at Clitheroe, along Warwick Drive and Dorset Drive",6,22,10,8,18
012FWFL41B,"Pimlico Brook at Clitheroe, between Longsight Ave, Princess Ave and Chatburn Rd",6,84,40,33,73
